sourcemmsi,altitude,speedoverground,courseoverground,lon,lat,ts
2115,943,222,281.8,-3.0043533,46.860394,1443688426
2115,946,224,281.8,-3.4032917,46.91752,1443688694
2115,945,224,281.7,-3.4181416,46.91963,1443688704
2115,946,223,281.7,-3.4314966,46.92152,1443688713
2115,946,223,281.7,-3.4462566,46.923615,1443688724
2115,947,215,282.5,-3.83874,46.980625,1443688995
2115,950,214,282.6,-3.8670716,46.984936,1443689015
2115,950,215,282.6,-3.8798332,46.98688,1443689026
2115,951,202,126.3,-3.97706,46.98946,1443689324
2115,950,202,125.9,-3.967105,46.984516,1443689334
2115,947,204,125.3,-3.6295366,46.820175,1443689634
111224102,1500,160,293.5,-8.431316,45.46187,1443898591
111224102,1499,160,293.7,-8.450673,45.467815,1443898611
111224102,1499,160,293.9,-8.469932,45.473854,1443898631
111224102,1500,160,294,-8.4786,45.476555,1443898641
111224102,1499,160,293.4,-8.498914,45.48284,1443898661
111224102,1499,160,293.6,-8.508575,45.48581,1443898671
111224102,1501,160,293.6,-8.518217,45.488766,1443898681
111224102,1499,160,293.7,-8.52884,45.492073,1443898692
111224102,1499,160,293.7,-8.536587,45.494465,1443898700
111224102,1499,160,293.7,-8.536587,45.494465,1443898701
111224102,1499,160,293.6,-8.547203,45.49776,1443898711
111224102,1499,160,293.6,-8.547203,45.49776,1443898712
111224102,1501,159,293.4,-8.556855,45.500698,1443898721
111224102,1501,159,293.4,-8.556855,45.500698,1443898721
111224102,1499,160,293.7,-8.56651,45.503654,1443898731
111224102,1498,160,293.5,-8.576179,45.506626,1443898741
111224102,1499,160,293.8,-8.5868,45.50991,1443898752
111224102,1498,160,294.2,-8.594492,45.512333,1443898760
111224102,1499,159,293.9,-8.624238,45.521687,1443898791
111224102,1499,159,293.9,-8.633839,45.52466,1443898801
111224102,1499,160,293.6,-8.644484,45.52794,1443898811
111224102,1498,161,293.2,-8.652275,45.530308,1443898820
111224102,1498,161,293.1,-8.66303,45.533512,1443898831
111224102,1497,161,293.7,-8.683492,45.53981,1443898852
111224102,1492,159,275.6,-8.703406,45.544548,1443898871
111224102,1496,156,250.1,-8.712505,45.54322,1443898881
111224102,1504,156,203.4,-8.7316885,45.526253,1443898912
111224102,1500,158,202.1,-8.735238,45.520187,1443898921
111224102,1498,159,202.2,-8.743092,45.50657,1443898941
111224102,1500,160,208.4,-8.844916,45.368687,1443899152
111224102,1500,160,208.3,-8.858916,45.35036,1443899180
111224102,1500,160,208.3,-8.864903,45.3425,1443899191
111224102,1500,160,208.3,-8.8744335,45.33005,1443899211
111224102,1501,160,208.1,-8.888885,45.31106,1443899241
2115,320,171,350.4,-3.402895,47.554096,1444660396
2115,325,172,335.1,-3.4096067,47.56927,1444660416
2115,320,175,325.1,-3.4157984,47.57614,1444660426
2115,345,163,69.8,-3.560495,47.73304,1444660697
2115,272,132,69.1,-3.533135,47.739548,1444660725
2115,1402,144,131.8,-3.3345218,47.7276,1444751762
2115,1508,145,132.1,-3.3263984,47.722668,1444751773
2115,1607,145,132.5,-3.318965,47.718113,1444751783
2115,1822,133,131.4,-3.305675,47.709972,1444751802
2115,1969,137,130.7,-3.29176,47.70186,1444751822
2115,2046,140,131.5,-3.2838383,47.697166,1444751833
2115,2118,142,131.4,-3.27653,47.692818,1444751843
2115,2177,146,131.2,-3.269805,47.688835,1444751852
2115,2251,149,131.5,-3.261405,47.683834,1444751864
2115,2505,158,131.5,-3.23745,47.669647,1444751893
2115,2505,158,131.5,-3.23745,47.669647,1444751894
2115,2606,159,131.2,-3.2292533,47.66479,1444751903
2115,2606,159,131.2,-3.2292533,47.66479,1444751903
2115,2707,160,132.4,-3.221955,47.66032,1444751912
2115,2707,160,132.4,-3.221955,47.66032,1444751913
2115,2825,160,131.6,-3.2129984,47.65489,1444751923
2115,2825,160,131.6,-3.2129984,47.65489,1444751923
2115,3030,163,131.7,-3.1963584,47.64492,1444751943
2115,3133,164,131.8,-3.1879866,47.639862,1444751953
2115,3233,165,131.6,-3.1795633,47.63479,1444751963
2115,3318,167,131.4,-3.1718566,47.63019,1444751972
2115,3421,168,131.7,-3.1623933,47.6245,1444751983
2115,3506,169,131.8,-3.1546216,47.61981,1444751992
2115,3610,170,131.7,-3.1450634,47.614048,1444752003
2115,3701,172,131.4,-3.1362667,47.608795,1444752014
2115,3783,173,131.5,-3.128275,47.604,1444752022
2115,3872,175,132.9,-3.11942,47.59858,1444752032
2115,3971,178,138.7,-3.1102917,47.591995,1444752043
2115,4053,180,139.4,-3.1030834,47.58632,1444752052
2115,4094,181,139.4,-3.0942266,47.579346,1444752063
2115,4094,182,140,-3.08619,47.572906,1444752073
2115,4094,183,140.1,-3.07894,47.567074,1444752082
2115,4094,184,139.7,-3.07085,47.56056,1444752092
2115,4094,186,139.8,-3.0618317,47.55334,1444752103
2115,4094,187,139.8,-3.0544283,47.5474,1444752112
2115,4094,189,139.8,-3.0452266,47.540035,1444752123
2115,4094,191,140,-3.0368884,47.5333,1444752133
2115,4094,193,139.6,-3.0292118,47.527195,1444752142
2115,4094,194,139.9,-3.0113118,47.512802,1444752164
2115,4094,194,139.6,-3.00361,47.506645,1444752172
2115,4094,195,139.5,-2.9940884,47.499084,1444752184
2115,4094,197,139.6,-2.9853916,47.492146,1444752193
2115,4094,201,139.5,-2.9774067,47.485813,1444752202
